Kepler-99 b;0;0.019346;0.134873;4.60358
HAT-P-40 b;0;0.615;1.73;4.457243
CoRoT-18 b;0;3.47;31.jan;1.9000693
CoRoT-10 b;0;2.75;0.97;13.2406
K2-60 b;0;0.426;0.683;3.00265
EPIC 201546283 b;0;0.09156;0.397;6.77145
EPIC 201505350 c;0;0.05;0.434;11.90715
EPIC 201505350 b;0;0.138;0.691;7.9194
WASP-139 b;0;0.117;0.8;5.924262
WASP-26 b;0;1.028;1.281;2.7566004
WASP-110 b;0;0.51;1.238;3.7783977
WASP-117 b;0;0.2755;1.021;10.02165
K2-31 b;0;1.774;06.jan;1.25785
WASP-43 b;0;2.034;1.036;0.81347753
HAT-47 b;0;0.206;1.313;4.732182
WASP-93 b;0;1.47;1.597;2.7325321
KOI-3680.01;0;02.febr;0.95;141.24164672
CoRoT-11 b;0;2.49;1.39;2.994325
WASP-105 b;0;08.jan;0.96;7.87288
KOI-55 b;0;0.0014;0.068;0.2401
KOI-55 c;0;0.0021;0.078;0.34289
HATS-7 b;0;0.12;0.563;3.185315
HD 189733 A b;2;1.138;1.138;2.21857312
WASP-80 b;0;0.554;0.952;3.0678504
Kepler-33 c;0;0.00252;0.2916;13.17562
Kepler-33 d;0;0.01478;0.487547;21.77596
Kepler-33 e;0;0.02108;0.366343;31.7844
Kepler-33 f;0;0.03618;0.406441;41.02902
HAT-P-31 b;0;2.171;07.jan;5.005425
HATS-9 b;0;0.837;1.065;1.9153073
WASP-129 b;0;1;0.93;5.748145
K2-30 b;0;0.624;1.196;4.098507
KOI-806.03;0;0.035546;0.355;29.334
KOI-806.02;0;2.013248;1.120903;60.3251
KOI-806.01;0;0.072666;0.801947;143.213
K2-108 b;0;0.187;0.471;4.73401
HAT-P-11 b;0;0.081;0.452;4.887804
WASP-47 b;0;1.164;1.139;4.1591287
WASP-47 e;0;0.0384;0.1631;0.789597
WASP-47 d;0;0.0328;0.324;9.03081
CoRoT-22 b;0;0.0383853003178;0.435365216104;9.75598
KOI-1257 b;2;1.45;0.94;86.647661
Qatar-5 b;0;4.32;1.107;2.8792319
Kepler-89 b;0;0.0330298;0.1558328;3.743208
Kepler-89 c;0;0.04907293;0.39368287;10.423648
Kepler-89 d;0;0.33;1;22.342989
Kepler-89 e;0;0.11009952;0.59781473;54.32031
HAT-P-43 b;0;0.66;1.283;3.332688
WASP-45 b;0;1.007;16.jan;3.1260876
HD 80606 b;2;3.94;0.921;111.4273
Kepler-117 c;0;1.84;1.101;50.790391
Kepler-117 b;0;0.094;0.719;18.7959228
KOI-142 b;0;0.0055264;0.37647;10.9542
HATS-20 b;0;0.273;0.776;3.7992969
Kepler-26 b;0;0.016097;0.26792;12.282972
Kepler-26 c;0;0.019492;0.26792;17.251204
KOI-830 b;0;27.jan;08.jan;3.52563254
CoRoT-3 b;0;21.66;01.jan;4.2568
WASP-71 b;0;2.242;1.46;2.9036747
Kepler-297 c;0;0.13;0.66;74.920137
Kepler-36 b;0;0.01346359;0.13778;13.83988
Kepler-36 c;0;0.02541726;0.33526835;16.23855
HATS-29 b;0;0.653;1.251;4.6058749
WASP-107 b;0;0.12;0.94;5.72149
WASP-25 b;0;0.58;26.jan;3.76483
Kepler-338 b;0;0.0963;0.22236;13.726976
Kepler-338 e;0;0.027;0.139;9.34149
WASP-157 b;0;0.576;1.045;3.9516205
KOI-183 b;0;0.595;1.192;2.6843285
CoRoT-5 b;0;0.467;1.388;4.0378962
WASP-69 b;0;0.26;1.057;3.8681382
HATS-26 b;0;0.65;1.75;3.3023881
Kepler-18 b;0;0.0217;0.179;3.504725
Kepler-18 c;0;0.054;0.49;7.64159
Kepler-18 d;0;0.052;0.62;14.85888
HAT-P-19 b;0;0.292;1.109;4.0087844
EPIC 204221263 b;0;0.0378;0.138;4.01593
EPIC 204221263 c;0;0.031;0.216;10.56103
Kepler-4 b;0;0.077;0.357;3.21346
KELT-7 b;0;28.jan;1.533;2.7347749
HATS-32 b;0;0.92;1.249;2.8126548
WASP-133 b;0;16.jan;21.jan;2.176423
HAT-P-7 b;2;1.709;1.4588;2.204737
HAT-P-3 b;0;0.591;0.827;2.899703
CoRoT-12 b;0;0.917;1.44;2.828042
HAT-P-18 b;0;0.196;0.947;5.507978
CoRoT-19 b;0;11.jan;1.45;3.89713
Kepler-447 b;0;1.37;1.65;7.79430132
WASP-111 b;0;1.83;1.442;2.310965
Kepler-74 b;0;0.63;0.96;7.340711
WASP-59 b;0;0.863;0.775;7.919585
WASP-126 b;0;0.28;0.96;3.2888
Kepler-5 b;0;2.114;1.431;3.54846
WASP-77 A b;2;1.76;21.jan;1.3600309
HATS-33 b;0;1.192;23.jan;2.5495551
Qatar-4 b;0;5.85;1.552;1.8053949
HAT-48 b;0;0.168;1.131;4.40865
WASP-56 b;0;0.571;1.092;4.617101
CoRoT-1 b;0;03.jan;1.49;1.5089557
Kepler-68 b;2;0.026;0.206;5.398763
Kepler-68 c;2;0.015;0.085;9.605085
WASP-120 b;0;01.máj;1.515;3.6112706
Kepler-76 b;0;01.febr;1.36;1.54492875
CoRoT-17 b;0;2.45;02.jan;3.768125
WASP-136 b;0;1.51;1.38;5.215357
Lupus-TR 3b;0;0.81;0.89;3.91405
Kepler-435 b;0;0.84;1.99;8.6001536
WASP-32 b;0;06.márc;19.jan;2.718659
2M 0746+20 b;0;30;0.97;4640
HAT-P-15 b;0;1.946;1.072;10.863502
HATS-21 b;0;0.332;1.123;3.5543973
WASP-61 b;0;06.febr;24.jan;3.8559
WASP-89 b;0;09.máj;04.jan;3.3564227
WASP-36 b;0;2.279;1.269;1.5373653
WASP-67 b;0;0.42;04.jan;4.61442
HAT-P-66 b;0;0.783;1.59;2.972086
KOI-680 b;0;0.84;1.99;8.6001536
KELT-2A b;2;1.524;29.jan;4.1137913
KELT-4A b;2;0.902;1.699;2.9895936
OGLE2-TR-L9 b;0;4.34;1.614;2.4855335
K2-77 b;0;09.jan;0.205;8.199796
HAT-P-41 b;0;0.8;1.685;2.69404
EPIC 216468514 b;0;0.84;1.44;3.31392
WASP-48 b;0;0.98;1.67;2.143634
WASP-5 b;0;1.637;1.171;1.6284246
HATS-12 b;0;04.febr;1.35;3.142833
HAT-P-23 b;0;09.febr;1.368;1.212884
Kepler-412 b;0;0.939;1.325;1.720861232
OGLE-TR-211 b;0;0.75;26.jan;3.67724
CoRoT-8 b;0;0.22;0.57;6.21229
WASP-122 b;0;1.372;1.972;1.7100567
HAT-P-21 b;0;4.063;1.024;4.124461
HAT-P-67 b;0;0.34;2.085;4.81010205
HAT-P-34 b;0;3.328;1.197;5.4527
